id_produto,limite_credito,faixa_limite,tipo_cartao
402,36947,30k-60k,Gold
403,14265,10k-30k,Gold
404,33294,30k-60k,Gold
405,114150,> 100k,Standard
406,64602,60k-100k,Standard
407,19030,10k-30k,Gold
408,34520,30k-60k,Standard
409,20250,10k-30k,Standard
410,34760,30k-60k,Standard
411,75265,60k-100k,Standard
412,57360,30k-60k,Standard
413,206674,> 100k,Standard
414,83678,60k-100k,Standard
415,41889,30k-60k,Standard
416,58337,30k-60k,Standard
417,31517,30k-60k,Standard
418,16493,10k-30k,Gold
419,90584,60k-100k,Standard
420,73592,60k-100k,Gold
421,30676,30k-60k,Standard
422,43991,30k-60k,Standard
423,86565,60k-100k,Standard
424,65673,60k-100k,Standard
425,13040,10k-30k,Gold
426,43067,30k-60k,Standard
427,32294,30k-60k,Gold
428,79150,60k-100k,Platinum
429,74736,60k-100k,Standard
430,91402,60k-100k,Standard
431,16605,10k-30k,Standard
432,20975,10k-30k,Platinum
433,79209,60k-100k,Gold
434,24000,10k-30k,Gold
435,12518,10k-30k,Standard
436,52723,30k-60k,Gold
437,24759,10k-30k,Gold
438,127115,> 100k,Standard
439,44682,30k-60k,Standard
440,40626,30k-60k,Standard
441,28043,10k-30k,Standard
442,110589,> 100k,Gold
443,46676,30k-60k,Standard
444,27283,10k-30k,Standard
445,20829,10k-30k,Standard
446,34494,30k-60k,Standard
447,18318,10k-30k,Standard
448,74623,60k-100k,Platinum
449,10241,10k-30k,Standard
450,32936,30k-60k,Standard
451,55664,30k-60k,Gold
452,46142,30k-60k,Standard
453,21980,10k-30k,Standard
454,57652,30k-60k,Standard
455,19531,10k-30k,Standard
456,35750,30k-60k,Standard
457,57313,30k-60k,Standard
458,50213,30k-60k,Standard
459,22639,10k-30k,Gold
460,83972,60k-100k,Standard
461,38587,30k-60k,Platinum
462,61089,60k-100k,Standard
463,105912,> 100k,Standard
464,79400,60k-100k,Platinum
465,79545,60k-100k,Standard
466,41559,30k-60k,Standard
467,63307,60k-100k,Standard
468,42172,30k-60k,Gold
469,15575,10k-30k,Standard
470,44887,30k-60k,Standard
471,43453,30k-60k,Standard
472,54644,30k-60k,Gold
473,33203,30k-60k,Standard
474,21311,10k-30k,Standard
475,57500,30k-60k,Standard
476,14482,10k-30k,Gold
477,100828,> 100k,Standard
478,30884,30k-60k,Standard
479,43125,30k-60k,Gold
480,53690,30k-60k,Standard
481,54911,30k-60k,Gold
482,13544,10k-30k,Platinum
483,64657,60k-100k,Gold
484,44900,30k-60k,Standard
485,23279,10k-30k,Standard
486,21487,10k-30k,Standard
487,28743,10k-30k,Platinum
488,14630,10k-30k,Platinum
489,121247,> 100k,Standard
490,102775,> 100k,Gold
491,49820,30k-60k,Gold
492,31058,30k-60k,Standard
493,31635,30k-60k,Standard
494,61737,60k-100k,Standard
495,124303,> 100k,Standard
496,24360,10k-30k,Gold
497,16608,10k-30k,Platinum
498,107296,> 100k,Standard
499,10394,10k-30k,Standard
500,17926,10k-30k,Standard
501,30552,30k-60k,Gold
502,12181,10k-30k,Gold
503,79102,60k-100k,Standard
504,66160,60k-100k,Standard
505,24285,10k-30k,Standard
506,88941,60k-100k,Standard
507,100158,> 100k,Platinum
508,33549,30k-60k,Standard
509,26490,10k-30k,Standard
510,176613,> 100k,Standard
511,60163,60k-100k,Standard
512,43452,30k-60k,Standard
513,94323,60k-100k,Standard
514,44862,30k-60k,Gold
515,25490,10k-30k,Standard
516,38411,30k-60k,Standard
517,75136,60k-100k,Standard
518,9004,< 10k,Gold
519,29684,10k-30k,Standard
520,95620,60k-100k,Gold
521,25379,10k-30k,Standard
522,107181,> 100k,Standard
523,97764,60k-100k,Standard
524,34687,30k-60k,Platinum
525,24392,10k-30k,Standard
526,29698,10k-30k,Standard
527,234504,> 100k,Standard
528,134874,> 100k,Standard
529,39647,30k-60k,Standard
530,23725,10k-30k,Standard
531,39416,30k-60k,Standard
532,43074,30k-60k,Standard
533,15209,10k-30k,Standard
534,38408,30k-60k,Standard
535,91645,60k-100k,Standard
536,10305,10k-30k,Standard
537,64770,60k-100k,Standard
538,95069,60k-100k,Standard
539,24528,10k-30k,Standard
540,118886,> 100k,Gold
541,22398,10k-30k,Standard
542,49452,30k-60k,Gold
543,29297,10k-30k,Standard
544,29292,10k-30k,Standard
545,23573,10k-30k,Standard
546,59219,30k-60k,Standard
547,65786,60k-100k,Standard
548,34714,30k-60k,Standard
549,14016,10k-30k,Gold
550,48156,30k-60k,Standard
551,48796,30k-60k,Platinum
552,31203,30k-60k,Standard
553,134196,> 100k,Gold
554,12152,10k-30k,Standard
555,7691,< 10k,Gold
556,21772,10k-30k,Standard
557,59712,30k-60k,Standard
558,17342,10k-30k,Standard
559,18275,10k-30k,Platinum
560,70665,60k-100k,Platinum
561,50200,30k-60k,Standard
562,47284,30k-60k,Gold
563,62755,60k-100k,Standard
564,26966,10k-30k,Standard
565,27853,10k-30k,Standard
566,64013,60k-100k,Platinum
567,14165,10k-30k,Standard
568,8103,< 10k,Standard
569,26814,10k-30k,Standard
570,69676,60k-100k,Standard
571,43429,30k-60k,Standard
572,66178,60k-100k,Standard
573,8853,< 10k,Standard
574,45290,30k-60k,Standard
575,57394,30k-60k,Standard
576,14107,10k-30k,Standard
577,66399,60k-100k,Gold
578,33588,30k-60k,Standard
579,311743,> 100k,Gold
580,7910,< 10k,Standard
581,94691,60k-100k,Standard
582,27559,10k-30k,Standard
583,11707,10k-30k,Gold
584,25112,10k-30k,Gold
585,44100,30k-60k,Standard
586,75073,60k-100k,Standard
587,121221,> 100k,Gold
588,98255,60k-100k,Standard
589,18476,10k-30k,Gold
590,80106,60k-100k,Standard
591,47757,30k-60k,Gold
592,22966,10k-30k,Standard
593,31309,30k-60k,Standard
594,22095,10k-30k,Gold
595,37270,30k-60k,Standard
596,21790,10k-30k,Standard
597,17683,10k-30k,Standard
598,50786,30k-60k,Standard
599,56393,30k-60k,Standard
600,31846,30k-60k,Platinum
601,94594,60k-100k,Gold
602,30263,30k-60k,Standard
603,29379,10k-30k,Gold
604,57661,30k-60k,Standard
605,33100,30k-60k,Standard
606,38536,30k-60k,Standard
607,6221,< 10k,Gold
608,36742,30k-60k,Gold
609,10106,10k-30k,Standard
610,15449,10k-30k,Standard
611,14260,10k-30k,Standard
612,17504,10k-30k,Standard
613,24730,10k-30k,Standard
614,25834,10k-30k,Standard
615,57814,30k-60k,Gold
616,42432,30k-60k,Gold
617,9597,< 10k,Standard
618,38495,30k-60k,Standard
619,45377,30k-60k,Gold
620,28853,10k-30k,Gold
621,34800,30k-60k,Standard
622,41490,30k-60k,Standard
623,62020,60k-100k,Gold
624,12059,10k-30k,Gold
625,30606,30k-60k,Standard
626,104384,> 100k,Standard
627,97896,60k-100k,Standard
628,65884,60k-100k,Standard
629,52879,30k-60k,Gold
630,115640,> 100k,Standard
631,139036,> 100k,Gold
632,33178,30k-60k,Standard
633,18423,10k-30k,Standard
634,30055,30k-60k,Gold
635,317326,> 100k,Gold
636,12105,10k-30k,Platinum
637,26124,10k-30k,Standard
638,13509,10k-30k,Standard
639,39629,30k-60k,Platinum
640,15648,10k-30k,Gold
641,33653,30k-60k,Platinum
642,9273,< 10k,Standard
643,55956,30k-60k,Standard
644,85446,60k-100k,Standard
645,27756,10k-30k,Gold
646,33037,30k-60k,Gold
647,32390,30k-60k,Standard
648,41218,30k-60k,Standard
649,35358,30k-60k,Standard
650,62173,60k-100k,Standard
651,86088,60k-100k,Standard
652,20540,10k-30k,Gold
653,29245,10k-30k,Standard
654,68263,60k-100k,Standard
655,13424,10k-30k,Standard
656,9140,< 10k,Gold
657,42549,30k-60k,Standard
658,51402,30k-60k,Platinum
659,21903,10k-30k,Gold
660,24220,10k-30k,Standard
661,21329,10k-30k,Standard
662,19794,10k-30k,Platinum
663,59009,30k-60k,Standard
664,15893,10k-30k,Standard
665,30155,30k-60k,Platinum
666,19269,10k-30k,Gold
667,13112,10k-30k,Standard
668,66777,60k-100k,Standard
669,25238,10k-30k,Gold
670,41436,30k-60k,Standard
671,12636,10k-30k,Standard
672,21604,10k-30k,Standard
673,61652,60k-100k,Standard
674,222145,> 100k,Platinum
675,9105,< 10k,Gold
676,31546,30k-60k,Gold
677,48464,30k-60k,Platinum
678,23593,10k-30k,Standard
679,65819,60k-100k,Standard
680,19797,10k-30k,Standard
681,40444,30k-60k,Standard
682,25198,10k-30k,Standard
683,85272,60k-100k,Standard
684,22618,10k-30k,Standard
685,28387,10k-30k,Standard
686,70402,60k-100k,Standard
687,17683,10k-30k,Standard
688,38105,30k-60k,Standard
689,10139,10k-30k,Standard
690,16957,10k-30k,Standard
691,47452,30k-60k,Platinum
692,18151,10k-30k,Platinum
693,24804,10k-30k,Standard
694,51285,30k-60k,Platinum
695,24211,10k-30k,Platinum
696,64601,60k-100k,Standard
697,42233,30k-60k,Standard
698,49265,30k-60k,Platinum
699,86567,60k-100k,Gold
700,45427,30k-60k,Standard
701,106637,> 100k,Gold
702,68726,60k-100k,Standard
703,25174,10k-30k,Standard
704,89787,60k-100k,Standard
705,43682,30k-60k,Standard
706,27549,10k-30k,Standard
707,44128,30k-60k,Gold
708,79112,60k-100k,Standard
709,49937,30k-60k,Standard
710,130050,> 100k,Standard
711,77696,60k-100k,Standard
712,52376,30k-60k,Platinum
713,17707,10k-30k,Standard
714,32022,30k-60k,Standard
715,38183,30k-60k,Standard
716,59138,30k-60k,Standard
717,56734,30k-60k,Standard
718,40891,30k-60k,Standard
719,39507,30k-60k,Standard
720,60133,60k-100k,Standard
721,19910,10k-30k,Platinum
722,118997,> 100k,Standard
723,8664,< 10k,Standard
724,100587,> 100k,Gold
725,35184,30k-60k,Gold
726,73262,60k-100k,Standard
727,46849,30k-60k,Platinum
728,46268,30k-60k,Gold
729,53528,30k-60k,Standard
730,63980,60k-100k,Standard
731,28848,10k-30k,Standard
732,74933,60k-100k,Standard
733,16998,10k-30k,Standard
734,36180,30k-60k,Standard
735,65197,60k-100k,Gold
736,72875,60k-100k,Standard
737,50138,30k-60k,Standard
738,27573,10k-30k,Standard
739,68029,60k-100k,Gold
740,22730,10k-30k,Gold
741,123745,> 100k,Standard
742,34225,30k-60k,Standard
743,12360,10k-30k,Standard
744,15736,10k-30k,Gold
745,37442,30k-60k,Standard
746,40049,30k-60k,Standard
747,144171,> 100k,Standard
748,17554,10k-30k,Gold
749,37332,30k-60k,Standard
750,17299,10k-30k,Platinum
751,25723,10k-30k,Standard
752,118040,> 100k,Standard
753,16392,10k-30k,Standard
754,54771,30k-60k,Gold
755,47812,30k-60k,Gold
756,35706,30k-60k,Gold
757,52240,30k-60k,Gold
758,16122,10k-30k,Gold
759,115777,> 100k,Platinum
760,139719,> 100k,Standard
761,37532,30k-60k,Gold
762,198030,> 100k,Platinum
763,27465,10k-30k,Standard
764,48064,30k-60k,Gold
765,98945,60k-100k,Standard
766,26336,10k-30k,Standard
767,13806,10k-30k,Standard
768,11752,10k-30k,Standard
769,153672,> 100k,Standard
770,25076,10k-30k,Gold
771,31887,30k-60k,Standard
772,16664,10k-30k,Standard
773,70533,60k-100k,Gold
774,21013,10k-30k,Standard
775,25748,10k-30k,Standard
776,44786,30k-60k,Standard
777,17243,10k-30k,Standard
778,32048,30k-60k,Standard
779,96910,60k-100k,Gold
780,49009,30k-60k,Standard
781,39790,30k-60k,Standard
782,42209,30k-60k,Platinum
783,27656,10k-30k,Gold
784,146870,> 100k,Standard
785,20567,10k-30k,Standard
786,42093,30k-60k,Gold
787,39360,30k-60k,Gold
788,73580,60k-100k,Gold
789,78607,60k-100k,Standard
790,35510,30k-60k,Standard
791,44509,30k-60k,Standard
792,45705,30k-60k,Gold
793,7401,< 10k,Gold
794,11940,10k-30k,Standard
795,23776,10k-30k,Standard
796,24511,10k-30k,Platinum
797,15685,10k-30k,Standard
798,61371,60k-100k,Standard
799,36369,30k-60k,Gold
800,31248,30k-60k,Standard
801,15073,10k-30k,Standard
802,35200,30k-60k,Standard
803,5775,< 10k,Standard
804,32400,30k-60k,Standard
805,37957,30k-60k,Platinum
806,43016,30k-60k,Standard
807,12150,10k-30k,Gold
808,42504,30k-60k,Standard
809,17518,10k-30k,Standard
810,20563,10k-30k,Gold
811,60027,60k-100k,Standard
812,148728,> 100k,Standard
813,37644,30k-60k,Standard
814,20496,10k-30k,Standard
815,41442,30k-60k,Standard
816,70074,60k-100k,Gold
817,56089,30k-60k,Standard
818,247750,> 100k,Platinum
819,22010,10k-30k,Standard
820,43328,30k-60k,Standard
821,107392,> 100k,Standard
822,102776,> 100k,Standard
823,9273,< 10k,Standard
824,36230,30k-60k,Gold
825,102658,> 100k,Standard
826,274704,> 100k,Standard
827,59436,30k-60k,Platinum
828,28071,10k-30k,Standard
829,17917,10k-30k,Standard
830,171634,> 100k,Standard
831,60483,60k-100k,Standard
832,20057,10k-30k,Standard
833,31501,30k-60k,Standard
834,45122,30k-60k,Standard
835,53138,30k-60k,Gold
836,19346,10k-30k,Gold
837,23625,10k-30k,Gold
838,11417,10k-30k,Standard
839,75194,60k-100k,Standard
840,28591,10k-30k,Standard
841,50333,30k-60k,Standard
842,98280,60k-100k,Standard
843,42357,30k-60k,Standard
844,33554,30k-60k,Standard
845,41595,30k-60k,Gold
846,37957,30k-60k,Standard
847,86882,60k-100k,Platinum
848,45142,30k-60k,Gold
849,24807,10k-30k,Standard
850,75621,60k-100k,Standard
851,85934,60k-100k,Standard
852,14230,10k-30k,Gold
853,106186,> 100k,Standard
854,46877,30k-60k,Standard
855,44280,30k-60k,Standard
856,73470,60k-100k,Standard
857,24418,10k-30k,Platinum
858,70821,60k-100k,Standard
859,27896,10k-30k,Standard
860,12932,10k-30k,Standard
861,18062,10k-30k,Gold
862,54009,30k-60k,Standard
863,18735,10k-30k,Gold
864,112089,> 100k,Gold
865,83491,60k-100k,Gold
866,92356,60k-100k,Standard
867,39630,30k-60k,Standard
868,43499,30k-60k,Standard
869,15746,10k-30k,Standard
870,72914,60k-100k,Standard
871,47376,30k-60k,Standard
872,54020,30k-60k,Standard
873,118399,> 100k,Gold
874,23761,10k-30k,Standard
875,33246,30k-60k,Standard
876,45645,30k-60k,Gold
877,18867,10k-30k,Standard
878,31846,30k-60k,Gold
879,51280,30k-60k,Standard
880,28917,10k-30k,Platinum
881,90788,60k-100k,Gold
882,12611,10k-30k,Standard
883,79693,60k-100k,Gold
884,57689,30k-60k,Standard
885,24387,10k-30k,Standard
886,19013,10k-30k,Gold
887,8465,< 10k,Gold
888,20813,10k-30k,Standard
889,75585,60k-100k,Standard
890,34917,30k-60k,Gold
891,81968,60k-100k,Standard
892,23531,10k-30k,Gold
893,59573,30k-60k,Gold
894,21976,10k-30k,Standard
895,18473,10k-30k,Standard
896,33691,30k-60k,Standard
897,22800,10k-30k,Gold
898,12332,10k-30k,Gold
899,31964,30k-60k,Standard
900,39124,30k-60k,Standard
901,88243,60k-100k,Gold
902,69965,60k-100k,Standard
903,85302,60k-100k,Gold
904,60129,60k-100k,Standard
905,45836,30k-60k,Gold
906,15363,10k-30k,Gold
907,40332,30k-60k,Standard
908,55146,30k-60k,Gold
909,100730,> 100k,Standard
910,58712,30k-60k,Standard
911,86531,60k-100k,Standard
912,17634,10k-30k,Gold
913,28897,10k-30k,Gold
914,49047,30k-60k,Gold
915,81851,60k-100k,Gold
916,32805,30k-60k,Standard
917,34278,30k-60k,Standard
918,58747,30k-60k,Standard
919,16512,10k-30k,Gold
920,111880,> 100k,Platinum
921,19625,10k-30k,Standard
922,9480,< 10k,Gold
923,36572,30k-60k,Standard
924,119243,> 100k,Standard
925,54749,30k-60k,Standard
926,61436,60k-100k,Gold
927,37382,30k-60k,Standard
928,32641,30k-60k,Gold
929,12314,10k-30k,Standard
930,7468,< 10k,Standard
931,41663,30k-60k,Standard
932,91015,60k-100k,Gold
