id_cliente,idade,faixa_etaria,escolaridade,genero,estado_civil
169,35,26-35,Pós-Graduação,Feminino,Casado
170,28,26-35,Ensino Médio,Feminino,Casado
171,27,26-35,Ensino Médio,Feminino,Solteiro
172,28,26-35,Outros,Masculino,Casado
173,37,36-45,Ensino Médio,Masculino,Casado
174,42,36-45,Ensino Médio,Masculino,Casado
175,41,36-45,Pós-Graduação,Masculino,Outros
176,47,46-55,Ensino Médio,Feminino,Casado
177,38,36-45,Ensino Médio,Feminino,Solteiro
178,55,46-55,Ensino Médio,Masculino,Solteiro
179,34,26-35,Graduação,Feminino,Outros
180,70,56+,Graduação,Feminino,Solteiro
181,45,36-45,Ensino Médio,Masculino,Solteiro
182,27,26-35,Ensino Médio,Masculino,Outros
183,25,18-25,Outros,Feminino,Solteiro
184,43,36-45,Pós-Graduação,Feminino,Casado
185,35,26-35,Graduação,Feminino,Casado
186,46,46-55,Graduação,Masculino,Solteiro
187,43,36-45,Ensino Médio,Masculino,Solteiro
188,37,36-45,Pós-Graduação,Masculino,Solteiro
189,27,26-35,Pós-Graduação,Feminino,Solteiro
190,19,18-25,Outros,Feminino,Solteiro
191,32,26-35,Pós-Graduação,Masculino,Casado
192,48,46-55,Ensino Médio,Feminino,Solteiro
193,40,36-45,Graduação,Feminino,Casado
194,23,18-25,Ensino Médio,Feminino,Outros
195,40,36-45,Graduação,Feminino,Solteiro
196,42,36-45,Outros,Masculino,Solteiro
197,27,26-35,Outros,Feminino,Casado
198,39,36-45,Pós-Graduação,Masculino,Casado
199,38,36-45,Pós-Graduação,Masculino,Casado
200,24,18-25,Graduação,Feminino,Solteiro
201,42,36-45,Ensino Médio,Feminino,Solteiro
202,44,36-45,Ensino Médio,Masculino,Casado
203,50,46-55,Graduação,Feminino,Solteiro
204,50,46-55,Graduação,Feminino,Solteiro
205,21,18-25,Pós-Graduação,Feminino,Casado
206,26,26-35,Ensino Médio,Masculino,Solteiro
207,44,36-45,Outros,Feminino,Solteiro
208,44,36-45,Graduação,Masculino,Solteiro
209,44,36-45,Graduação,Masculino,Solteiro
210,75,56+,Pós-Graduação,Masculino,Solteiro
211,44,36-45,Graduação,Masculino,Outros
212,51,46-55,Graduação,Feminino,Casado
213,49,46-55,Pós-Graduação,Feminino,Solteiro
214,45,36-45,Graduação,Feminino,Casado
215,34,26-35,Graduação,Masculino,Casado
216,47,46-55,Graduação,Feminino,Casado
217,28,26-35,Graduação,Feminino,Casado
218,35,26-35,Pós-Graduação,Feminino,Outros
219,32,26-35,Ensino Médio,Feminino,Outros
220,38,36-45,Ensino Médio,Feminino,Casado
221,65,56+,Graduação,Feminino,Solteiro
222,18,18-25,Pós-Graduação,Feminino,Solteiro
223,46,46-55,Ensino Médio,Masculino,Solteiro
224,18,18-25,Outros,Feminino,Solteiro
225,32,26-35,Graduação,Masculino,Casado
226,51,46-55,Graduação,Masculino,Solteiro
227,38,36-45,Pós-Graduação,Feminino,Solteiro
228,25,18-25,Graduação,Masculino,Solteiro
229,29,26-35,Pós-Graduação,Feminino,Outros
230,46,46-55,Graduação,Masculino,Outros
231,29,26-35,Ensino Médio,Masculino,Solteiro
232,40,36-45,Graduação,Masculino,Solteiro
233,38,36-45,Graduação,Masculino,Outros
234,30,26-35,Graduação,Feminino,Casado
235,63,56+,Graduação,Masculino,Casado
236,45,36-45,Pós-Graduação,Masculino,Casado
237,18,18-25,Pós-Graduação,Masculino,Outros
238,40,36-45,Ensino Médio,Masculino,Solteiro
239,30,26-35,Pós-Graduação,Feminino,Casado
240,48,46-55,Ensino Médio,Masculino,Outros
241,28,26-35,Outros,Feminino,Solteiro
242,36,36-45,Graduação,Feminino,Solteiro
243,44,36-45,Graduação,Feminino,Casado
244,48,46-55,Graduação,Feminino,Solteiro
245,23,18-25,Ensino Médio,Masculino,Solteiro
246,33,26-35,Outros,Masculino,Solteiro
247,32,26-35,Ensino Médio,Feminino,Solteiro
248,30,26-35,Pós-Graduação,Feminino,Solteiro
249,59,56+,Ensino Médio,Feminino,Casado
250,42,36-45,Graduação,Feminino,Solteiro
251,22,18-25,Graduação,Masculino,Casado
252,49,46-55,Pós-Graduação,Masculino,Casado
253,63,56+,Pós-Graduação,Feminino,Casado
254,50,46-55,Ensino Médio,Feminino,Casado
255,19,18-25,Graduação,Masculino,Casado
256,32,26-35,Graduação,Feminino,Solteiro
257,53,46-55,Graduação,Masculino,Solteiro
258,29,26-35,Ensino Médio,Masculino,Casado
259,43,36-45,Ensino Médio,Feminino,Solteiro
260,47,46-55,Graduação,Feminino,Casado
261,26,26-35,Pós-Graduação,Masculino,Casado
262,37,36-45,Graduação,Masculino,Solteiro
263,18,18-25,Outros,Masculino,Solteiro
264,25,18-25,Graduação,Feminino,Solteiro
265,34,26-35,Graduação,Masculino,Casado
266,23,18-25,Graduação,Feminino,Solteiro
267,57,56+,Graduação,Feminino,Solteiro
268,20,18-25,Ensino Médio,Feminino,Outros
269,32,26-35,Graduação,Masculino,Casado
270,39,36-45,Pós-Graduação,Feminino,Solteiro
271,55,46-55,Pós-Graduação,Masculino,Solteiro
272,20,18-25,Graduação,Masculino,Outros
273,51,46-55,Outros,Masculino,Casado
274,38,36-45,Graduação,Masculino,Solteiro
275,26,26-35,Ensino Médio,Feminino,Casado
276,43,36-45,Ensino Médio,Masculino,Solteiro
277,40,36-45,Graduação,Masculino,Casado
278,30,26-35,Pós-Graduação,Feminino,Casado
279,38,36-45,Pós-Graduação,Masculino,Solteiro
280,33,26-35,Ensino Médio,Feminino,Casado
281,39,36-45,Pós-Graduação,Masculino,Casado
282,45,36-45,Graduação,Masculino,Casado
283,57,56+,Graduação,Feminino,Casado
284,23,18-25,Ensino Médio,Masculino,Outros
285,63,56+,Pós-Graduação,Feminino,Solteiro
286,18,18-25,Graduação,Masculino,Solteiro
287,36,36-45,Graduação,Masculino,Casado
288,45,36-45,Graduação,Masculino,Outros
289,41,36-45,Ensino Médio,Masculino,Solteiro
290,30,26-35,Pós-Graduação,Masculino,Solteiro
291,35,26-35,Ensino Médio,Feminino,Solteiro
292,32,26-35,Ensino Médio,Masculino,Solteiro
293,30,26-35,Graduação,Masculino,Solteiro
294,48,46-55,Ensino Médio,Masculino,Casado
295,42,36-45,Graduação,Feminino,Casado
296,29,26-35,Pós-Graduação,Feminino,Solteiro
297,48,46-55,Ensino Médio,Feminino,Solteiro
298,41,36-45,Graduação,Feminino,Casado
299,47,46-55,Graduação,Masculino,Casado
300,45,36-45,Graduação,Masculino,Solteiro
301,28,26-35,Outros,Feminino,Solteiro
302,31,26-35,Graduação,Feminino,Casado
303,46,46-55,Pós-Graduação,Masculino,Casado
304,45,36-45,Graduação,Masculino,Solteiro
305,37,36-45,Ensino Médio,Feminino,Solteiro
306,39,36-45,Ensino Médio,Feminino,Casado
307,53,46-55,Graduação,Masculino,Solteiro
308,30,26-35,Ensino Médio,Feminino,Solteiro
309,44,36-45,Graduação,Masculino,Solteiro
310,35,26-35,Graduação,Masculino,Outros
311,35,26-35,Ensino Médio,Masculino,Outros
312,51,46-55,Ensino Médio,Masculino,Casado
313,47,46-55,Ensino Médio,Masculino,Casado
314,47,46-55,Ensino Médio,Feminino,Casado
315,53,46-55,Pós-Graduação,Masculino,Casado
316,38,36-45,Ensino Médio,Feminino,Casado
317,46,46-55,Graduação,Masculino,Casado
318,34,26-35,Pós-Graduação,Masculino,Outros
319,41,36-45,Graduação,Feminino,Outros
320,36,36-45,Graduação,Feminino,Solteiro
321,39,36-45,Graduação,Feminino,Solteiro
322,45,36-45,Graduação,Feminino,Casado
323,28,26-35,Pós-Graduação,Masculino,Casado
324,63,56+,Graduação,Masculino,Casado
325,25,18-25,Graduação,Feminino,Solteiro
326,23,18-25,Graduação,Feminino,Casado
327,51,46-55,Graduação,Feminino,Solteiro
328,47,46-55,Ensino Médio,Feminino,Solteiro
329,45,36-45,Ensino Médio,Feminino,Casado
330,45,36-45,Ensino Médio,Masculino,Casado
331,37,36-45,Graduação,Feminino,Solteiro
332,27,26-35,Ensino Médio,Feminino,Outros
333,38,36-45,Pós-Graduação,Feminino,Solteiro
334,29,26-35,Pós-Graduação,Masculino,Casado
335,49,46-55,Graduação,Masculino,Solteiro
336,36,36-45,Ensino Médio,Masculino,Casado
337,28,26-35,Graduação,Masculino,Outros
338,34,26-35,Pós-Graduação,Feminino,Solteiro
339,42,36-45,Pós-Graduação,Masculino,Solteiro
340,31,26-35,Ensino Médio,Masculino,Casado
341,28,26-35,Graduação,Masculino,Solteiro
342,40,36-45,Graduação,Feminino,Casado
343,40,36-45,Graduação,Feminino,Casado
344,31,26-35,Graduação,Masculino,Casado
345,32,26-35,Ensino Médio,Masculino,Outros
346,40,36-45,Graduação,Masculino,Solteiro
347,20,18-25,Ensino Médio,Masculino,Casado
348,21,18-25,Graduação,Masculino,Outros
349,29,26-35,Ensino Médio,Feminino,Casado
350,35,26-35,Pós-Graduação,Masculino,Casado
351,41,36-45,Graduação,Masculino,Casado
352,55,46-55,Graduação,Feminino,Solteiro
353,48,46-55,Graduação,Masculino,Solteiro
354,36,36-45,Pós-Graduação,Feminino,Solteiro
355,37,36-45,Ensino Médio,Masculino,Solteiro
356,25,18-25,Graduação,Feminino,Casado
357,37,36-45,Ensino Médio,Feminino,Solteiro
358,34,26-35,Ensino Médio,Feminino,Casado
359,41,36-45,Graduação,Masculino,Solteiro
360,28,26-35,Ensino Médio,Masculino,Solteiro
361,44,36-45,Ensino Médio,Masculino,Solteiro
362,56,56+,Graduação,Feminino,Solteiro
363,36,36-45,Ensino Médio,Feminino,Solteiro
364,42,36-45,Graduação,Masculino,Casado
365,46,46-55,Graduação,Masculino,Solteiro
366,33,26-35,Ensino Médio,Masculino,Casado
367,40,36-45,Graduação,Masculino,Casado
368,38,36-45,Graduação,Masculino,Solteiro
369,39,36-45,Graduação,Masculino,Solteiro
370,28,26-35,Ensino Médio,Feminino,Casado
371,38,36-45,Outros,Feminino,Outros
372,43,36-45,Graduação,Feminino,Outros
373,55,46-55,Ensino Médio,Masculino,Solteiro
374,49,46-55,Outros,Feminino,Solteiro
375,63,56+,Pós-Graduação,Feminino,Solteiro
376,28,26-35,Graduação,Masculino,Casado
377,48,46-55,Ensino Médio,Feminino,Solteiro
378,40,36-45,Ensino Médio,Masculino,Outros
379,64,56+,Ensino Médio,Masculino,Outros
380,28,26-35,Graduação,Masculino,Outros
381,27,26-35,Pós-Graduação,Masculino,Casado
382,30,26-35,Graduação,Feminino,Casado
383,18,18-25,Graduação,Masculino,Casado
384,31,26-35,Graduação,Masculino,Casado
385,28,26-35,Ensino Médio,Masculino,Casado
386,39,36-45,Pós-Graduação,Feminino,Casado
387,42,36-45,Ensino Médio,Masculino,Solteiro
388,60,56+,Graduação,Feminino,Solteiro
389,49,46-55,Graduação,Feminino,Solteiro
390,31,26-35,Pós-Graduação,Masculino,Solteiro
391,27,26-35,Graduação,Masculino,Casado
392,43,36-45,Pós-Graduação,Feminino,Casado
393,22,18-25,Outros,Masculino,Solteiro
394,59,56+,Ensino Médio,Masculino,Solteiro
395,52,46-55,Graduação,Feminino,Solteiro
396,32,26-35,Graduação,Masculino,Casado
397,18,18-25,Outros,Masculino,Casado
398,54,46-55,Graduação,Masculino,Solteiro
399,36,36-45,Pós-Graduação,Masculino,Solteiro
400,52,46-55,Graduação,Feminino,Outros
401,18,18-25,Outros,Feminino,Solteiro
402,30,26-35,Pós-Graduação,Feminino,Solteiro
403,38,36-45,Graduação,Feminino,Solteiro
404,38,36-45,Outros,Masculino,Solteiro
405,32,26-35,Pós-Graduação,Masculino,Solteiro
406,45,36-45,Pós-Graduação,Masculino,Outros
407,25,18-25,Graduação,Masculino,Solteiro
408,36,36-45,Ensino Médio,Feminino,Outros
409,39,36-45,Graduação,Feminino,Casado
410,44,36-45,Outros,Masculino,Solteiro
411,46,46-55,Ensino Médio,Masculino,Solteiro
412,24,18-25,Pós-Graduação,Masculino,Casado
413,19,18-25,Outros,Masculino,Solteiro
414,53,46-55,Graduação,Masculino,Casado
415,41,36-45,Graduação,Feminino,Solteiro
416,29,26-35,Graduação,Feminino,Solteiro
417,56,56+,Graduação,Feminino,Casado
418,39,36-45,Pós-Graduação,Masculino,Solteiro
419,52,46-55,Pós-Graduação,Masculino,Solteiro
420,38,36-45,Graduação,Masculino,Solteiro
421,62,56+,Ensino Médio,Feminino,Casado
422,59,56+,Graduação,Feminino,Outros
423,35,26-35,Outros,Feminino,Solteiro
424,49,46-55,Graduação,Masculino,Solteiro
425,45,36-45,Graduação,Feminino,Casado
426,54,46-55,Pós-Graduação,Masculino,Outros
427,26,26-35,Pós-Graduação,Feminino,Casado
428,46,46-55,Graduação,Masculino,Solteiro
429,50,46-55,Ensino Médio,Masculino,Solteiro
430,18,18-25,Outros,Feminino,Casado
431,23,18-25,Outros,Masculino,Solteiro
432,18,18-25,Graduação,Masculino,Casado
433,34,26-35,Ensino Médio,Masculino,Solteiro
434,46,46-55,Graduação,Masculino,Solteiro
435,56,56+,Pós-Graduação,Masculino,Solteiro
436,38,36-45,Ensino Médio,Masculino,Outros
437,57,56+,Graduação,Masculino,Solteiro
438,21,18-25,Pós-Graduação,Masculino,Solteiro
439,18,18-25,Graduação,Feminino,Solteiro
440,37,36-45,Graduação,Masculino,Casado
441,42,36-45,Ensino Médio,Masculino,Solteiro
442,37,36-45,Graduação,Feminino,Outros
443,18,18-25,Outros,Feminino,Casado
444,36,36-45,Pós-Graduação,Feminino,Casado
445,22,18-25,Graduação,Masculino,Casado
446,46,46-55,Graduação,Feminino,Casado
447,42,36-45,Graduação,Feminino,Casado
448,26,26-35,Graduação,Feminino,Solteiro
449,31,26-35,Ensino Médio,Feminino,Solteiro
450,25,18-25,Ensino Médio,Feminino,Solteiro
451,37,36-45,Outros,Feminino,Casado
452,49,46-55,Ensino Médio,Feminino,Solteiro
453,26,26-35,Ensino Médio,Masculino,Outros
454,44,36-45,Graduação,Feminino,Outros
455,31,26-35,Ensino Médio,Feminino,Solteiro
456,28,26-35,Graduação,Masculino,Casado
457,36,36-45,Graduação,Feminino,Outros
458,25,18-25,Graduação,Masculino,Solteiro
459,31,26-35,Graduação,Masculino,Casado
460,23,18-25,Graduação,Feminino,Casado
461,61,56+,Outros,Masculino,Casado
462,38,36-45,Graduação,Masculino,Casado
463,29,26-35,Pós-Graduação,Masculino,Casado
464,40,36-45,Graduação,Masculino,Outros
465,36,36-45,Pós-Graduação,Masculino,Solteiro
466,35,26-35,Pós-Graduação,Masculino,Solteiro
467,45,36-45,Graduação,Masculino,Solteiro
468,47,46-55,Graduação,Feminino,Solteiro
469,31,26-35,Graduação,Feminino,Outros
470,31,26-35,Ensino Médio,Masculino,Outros
471,34,26-35,Ensino Médio,Feminino,Casado
472,18,18-25,Graduação,Masculino,Outros
473,19,18-25,Graduação,Masculino,Solteiro
474,54,46-55,Graduação,Masculino,Casado
475,57,56+,Ensino Médio,Feminino,Solteiro
476,35,26-35,Pós-Graduação,Feminino,Solteiro
477,44,36-45,Pós-Graduação,Masculino,Outros
478,41,36-45,Ensino Médio,Masculino,Casado
479,74,56+,Graduação,Masculino,Solteiro
480,51,46-55,Pós-Graduação,Masculino,Casado
481,36,36-45,Graduação,Feminino,Casado
482,26,26-35,Outros,Masculino,Casado
483,18,18-25,Ensino Médio,Feminino,Solteiro
484,40,36-45,Ensino Médio,Masculino,Solteiro
485,28,26-35,Graduação,Feminino,Casado
486,20,18-25,Graduação,Feminino,Solteiro
487,30,26-35,Outros,Masculino,Casado
488,25,18-25,Outros,Feminino,Casado
489,58,56+,Graduação,Feminino,Solteiro
490,48,46-55,Ensino Médio,Masculino,Casado
491,37,36-45,Pós-Graduação,Masculino,Solteiro
492,55,46-55,Graduação,Feminino,Casado
493,38,36-45,Ensino Médio,Masculino,Casado
494,27,26-35,Graduação,Masculino,Solteiro
495,56,56+,Outros,Masculino,Solteiro
496,44,36-45,Pós-Graduação,Feminino,Casado
497,25,18-25,Graduação,Feminino,Solteiro
498,35,26-35,Outros,Feminino,Solteiro
499,27,26-35,Outros,Feminino,Solteiro
500,21,18-25,Pós-Graduação,Masculino,Casado
501,49,46-55,Graduação,Feminino,Solteiro
502,60,56+,Graduação,Feminino,Solteiro
503,21,18-25,Pós-Graduação,Masculino,Casado
504,44,36-45,Outros,Masculino,Solteiro
505,30,26-35,Outros,Masculino,Outros
506,32,26-35,Pós-Graduação,Feminino,Solteiro
507,30,26-35,Pós-Graduação,Feminino,Solteiro
508,27,26-35,Pós-Graduação,Feminino,Solteiro
509,38,36-45,Outros,Feminino,Solteiro
510,28,26-35,Pós-Graduação,Masculino,Solteiro
511,41,36-45,Graduação,Feminino,Solteiro
512,37,36-45,Graduação,Feminino,Solteiro
513,35,26-35,Graduação,Masculino,Casado
514,27,26-35,Pós-Graduação,Feminino,Casado
515,31,26-35,Graduação,Masculino,Outros
516,47,46-55,Outros,Feminino,Casado
517,44,36-45,Outros,Feminino,Solteiro
518,26,26-35,Ensino Médio,Feminino,Outros
519,39,36-45,Pós-Graduação,Feminino,Solteiro
520,47,46-55,Graduação,Masculino,Outros
521,18,18-25,Graduação,Feminino,Solteiro
522,44,36-45,Graduação,Masculino,Casado
523,30,26-35,Outros,Feminino,Solteiro
524,44,36-45,Graduação,Feminino,Casado
525,28,26-35,Pós-Graduação,Feminino,Casado
526,18,18-25,Outros,Masculino,Casado
527,18,18-25,Outros,Feminino,Casado
528,38,36-45,Pós-Graduação,Feminino,Casado
529,41,36-45,Graduação,Feminino,Casado
530,27,26-35,Graduação,Masculino,Solteiro
531,45,36-45,Graduação,Masculino,Solteiro
532,18,18-25,Pós-Graduação,Masculino,Casado
533,37,36-45,Graduação,Feminino,Casado
534,23,18-25,Outros,Feminino,Solteiro
535,30,26-35,Graduação,Feminino,Solteiro
536,38,36-45,Pós-Graduação,Masculino,Outros
537,27,26-35,Graduação,Masculino,Casado
538,33,26-35,Graduação,Feminino,Solteiro
539,50,46-55,Ensino Médio,Feminino,Solteiro
540,31,26-35,Graduação,Feminino,Solteiro
541,48,46-55,Pós-Graduação,Feminino,Casado
542,24,18-25,Pós-Graduação,Masculino,Casado
543,44,36-45,Ensino Médio,Feminino,Casado
544,55,46-55,Graduação,Feminino,Casado
545,18,18-25,Ensino Médio,Masculino,Solteiro
546,28,26-35,Graduação,Masculino,Solteiro
547,44,36-45,Graduação,Masculino,Solteiro
548,35,26-35,Graduação,Masculino,Solteiro
549,42,36-45,Outros,Feminino,Solteiro
550,30,26-35,Outros,Masculino,Casado
551,39,36-45,Graduação,Masculino,Outros
552,36,36-45,Graduação,Masculino,Solteiro
553,52,46-55,Pós-Graduação,Feminino,Casado
554,41,36-45,Graduação,Masculino,Casado
555,42,36-45,Graduação,Feminino,Solteiro
556,33,26-35,Outros,Masculino,Solteiro
557,32,26-35,Outros,Masculino,Casado
558,32,26-35,Graduação,Masculino,Solteiro
559,42,36-45,Graduação,Masculino,Solteiro
560,32,26-35,Ensino Médio,Masculino,Solteiro
561,41,36-45,Ensino Médio,Masculino,Casado
562,62,56+,Pós-Graduação,Feminino,Casado
563,48,46-55,Graduação,Feminino,Outros
564,34,26-35,Graduação,Masculino,Solteiro
565,52,46-55,Graduação,Masculino,Casado
566,33,26-35,Pós-Graduação,Feminino,Casado
567,18,18-25,Pós-Graduação,Feminino,Casado
568,25,18-25,Graduação,Masculino,Casado
569,18,18-25,Graduação,Feminino,Solteiro
570,33,26-35,Pós-Graduação,Feminino,Outros
571,38,36-45,Graduação,Feminino,Casado
572,58,56+,Ensino Médio,Masculino,Casado
573,41,36-45,Ensino Médio,Masculino,Outros
574,35,26-35,Graduação,Masculino,Casado
575,47,46-55,Graduação,Feminino,Outros
